INDEX,HS,CN,TARGET,VERSION
4224,Muslims have no place in civilised Europe.,"Muslims are part of the European community, why do you say differently?",MUSLIMS,V6_lab
2050,Muslims have no place in civilised Europe.,"People have the right to their own beliefs, and we do not have the right to impose ours on others.",MUSLIMS,V4
2946,Muslims have no place in civilised Europe.,"Muslims have contributed greatly to our culture, so it seems to me that they do have a place here.",MUSLIMS,V5
2181,Muslims have no place in civilised Europe.,The argument that Islam is incompatible with European values is not based on any facts or evidence. Do you have any?,MUSLIMS,V4
1158,Muslims have no place in civilised Europe.,They have beenpart of our society and culture for centuries.. European citizens are not defined by their religion.,MUSLIMS,V2
4231,Muslims have no place in civilised Europe.,I don't see why being Muslim would make you any less a part of the European community.,MUSLIMS,V6_lab
1160,Muslims have no place in civilised Europe.,"In a modern democratic society such as Europe, there must be a balance between different opinions, and respecting different beliefs.",MUSLIMS,V2
2443,Muslims have no place in civilised Europe.,"The European Convention on Human Rights guarantees the freedom of religion, article 9.",MUSLIMS,V4
4628,Muslims have no place in civilised Europe.,"Muslims are part of the European Union, and have lived here ever since. Their presence is evidence enough that they have always been a part of 'civilised' Europe.",MUSLIMS,V6_mix
2455,Muslims have no place in civilised Europe.,This is not true. They are part of the EU and are treated fairly here.,MUSLIMS,V4
1688,Muslims have no place in civilised Europe.,A European country is partly also a Muslim country. To imply otherwise is to ignore the actual state of things and be prejudiced.,MUSLIMS,V3
1689,Muslims have no place in civilised Europe.,Muslims are a part of Western society. They are a part of the EU.,MUSLIMS,V3
2970,Muslims have no place in civilised Europe.,All countries have the right to have different religious communities in their midst.,MUSLIMS,V5
2715,Muslims have no place in civilised Europe.,Islam is a religion. It is not a problem for any civilised society.,MUSLIMS,V5
796,Muslims have no place in civilised Europe.,What is wrong with Muslims living in Europe?,MUSLIMS,V1
2973,Muslims have no place in civilised Europe.,"Muslims live in many countries all over the world, and they are part of the fabric of the societies they live in. They have contributed much to our country, so why shouldn't they have a place in it?",MUSLIMS,V5
3104,Muslims have no place in civilised Europe.,Do you think Muslims are worse than the criminals who commit crimes just because of their religion?,MUSLIMS,V6_sbf
4640,Muslims have no place in civilised Europe.,"Muslims have been part of Europe for a long time, they have contributed to our culture and identity, and they are very proud of it. They should be treated as any other person would be.",MUSLIMS,V6_mix
3107,Muslims have no place in civilised Europe.,The EU is not the world's only civilised society. What precisely do you think makes them not suitable for our 'civilisation'?,MUSLIMS,V6_sbf
2732,Muslims have no place in civilised Europe.,I find it hard to see why a group of people is incompatible with the rest of the society.,MUSLIMS,V5
1199,Muslims have no place in civilised Europe.,Since when is the religious belonging of the individual a matter for democratic leaders to decide where 'the place' is for someone?,MUSLIMS,V2
2743,Muslims have no place in civilised Europe.,"You can't be serious! We are in the heart of Europe, and we have had Muslim people since time immemorial. How can you say that Islam is incompatible with civilised polity?",MUSLIMS,V5
1731,Muslims have no place in civilised Europe.,"There is a place for Muslims in a free and open society, but you seem to prefer a confined and closed one.",MUSLIMS,V3
1733,Muslims have no place in civilised Europe.,In our society we are proud of our diversity. Muslims are not an exception to us.,MUSLIMS,V3
4422,Muslims have no place in civilised Europe.,Muslims are welcome in this country as long as they respect our laws. And we should try to live in our society in a non-discriminatory way.,MUSLIMS,V6_lab
2759,Muslims have no place in civilised Europe.,"Since they are neither a burden nor a threat, how can you say they don't have a place in Europe?",MUSLIMS,V5
2760,Muslims have no place in civilised Europe.,"Muslims are welcome here, as long as they observe the law and are respectful of other people.",MUSLIMS,V5
2887,Muslims have no place in civilised Europe.,What do you mean by 'civilised Europe'? Why don't you talk to the people who actually live in it and prove to yourself that what you're saying isn't true.,MUSLIMS,V5
3659,Muslims have no place in civilised Europe.,"Muslims are part of the European Union, and they are entitled to be here.",MUSLIMS,V6_kc
4429,Muslims have no place in civilised Europe.,I am not sure where you got your idea that all Muslims are incompatible with civilised Europe. Why do you say so?,MUSLIMS,V6_lab
2638,Muslims have no place in civilised Europe.,Being banned from a continent for having different beliefs is the same thing as being banned from your town for not cheering the favorite football club of the mayor.,MUSLIMS,V5
1359,Muslims have no place in civilised Europe.,You are right: only a madman would choose to live in a country with so much hate against foreigners.,MUSLIMS,V2
2384,Muslims have no place in civilised Europe.,"Muslims are part of Europe, since the beginning. For example, in the 1970s they made up the 2% of the French population.",MUSLIMS,V4
2385,Muslims have no place in civilised Europe.,"Muslims have been a part of European society for centuries, and their presence is strong evidence of that.",MUSLIMS,V4
3407,Muslims have no place in civilised Europe.,They have always lived here. They are our brothers and sisters.,MUSLIMS,V6_sbf
2387,Muslims have no place in civilised Europe.,Are you suggesting that a person's religion is a barrier to integration?,MUSLIMS,V4
3408,Muslims have no place in civilised Europe.,They have lived here for centuries and they are part of our community.,MUSLIMS,V6_sbf
3411,Muslims have no place in civilised Europe.,"Muslims should be welcome in every country in the world, and their faith does not make them less welcome here.",MUSLIMS,V6_sbf
4438,Muslims have no place in civilised Europe.,"Not all Muslims are associated with terrorism, some are good citizens in our country. What we need instead is a strategy for de-radicalising Muslim extremists in communities.",MUSLIMS,V6_lab
4443,Muslims have no place in civilised Europe.,Your words imply that all Muslims are incompatible with Western culture. Do you have any data to back this up?,MUSLIMS,V6_lab
2396,Muslims have no place in civilised Europe.,"Wherever Muslims live, they feel threatened by people of other religions. Your statement confirms they are right.",MUSLIMS,V4
2911,Muslims have no place in civilised Europe.,"What do you mean by ""civilised Europe""? Don't you think civilisation involves inclusion and respect for others?",MUSLIMS,V5
4959,Muslims have no place in civilised Europe.,"Have you ever visited a Muslim country? In many cases you see a lot of diversity and human rights and culture. So, there is a lot of room for Muslims in civilised Europe as well.",MUSLIMS,V6_mix
865,Muslims have no place in civilised Europe.,There are centuries old Islamic communities in Europe.,MUSLIMS,V1
3938,Muslims have no place in civilised Europe.,"The European Convention on Human Rights guarantees the freedom of religion and belief to adherents of all religions, including Islam.",MUSLIMS,V6_kc
739,Muslims have no place in civilised Europe.,Provide positive news stories about the Muslim community and promote a better understanding.,MUSLIMS,V1
4842,Muslims have no place in civilised Europe.,"Islam is a religion of peace, and its adherents are already integrated into the majority of European societies.",MUSLIMS,V6_mix
2669,Muslims have no place in civilised Europe.,One could make the case that Europe is 'civilised' precisely because of historical contacts with Islam and the tranfers of knowledge that occured as a direct result of those contacts.,MUSLIMS,V5
750,Muslims have no place in civilised Europe.,"Oh, the same Muslims who contribute more than 31 billion pounds to economy and who give more to charity than other religious groups. Link to MEND factsheet.",MUSLIMS,V1
2671,Muslims have no place in civilised Europe.,"Why shouldn't they? They are just people, who have always lived here, contributing in many ways to our society.",MUSLIMS,V5
3954,Muslims have no place in civilised Europe.,Why should Muslims have a place in a democratic society? Because everyone here should be able to live and practice their religion openly.,MUSLIMS,V6_kc
3955,Muslims have no place in civilised Europe.,"The EU is a great success story, it has given birth to some of the greatest ideas in history, and is the envy of the world thanks to Muslims as well. We should let those ideas and achievements speak for themselves.",MUSLIMS,V6_kc
2168,Muslims have no place in civilised Europe.,I don't understand why you think this. The UK is one of the richest countries in the world and since the 8th century Muslims have been a part of it.,MUSLIMS,V4
2683,Muslims have no place in civilised Europe.,Europeans have always had a lot of Muslim friends and relatives. They have helped make our continent what it is.,MUSLIMS,V5
4223,Muslims have no place in civilised Europe.,"Do you think Muslims don't have a place in a civilised society? I don't agree. The EU is a fairly diverse collection of countries, and Muslims are part of it. Do you really think that one group of people is incompatible with the rest of the EU because of their religion?",MUSLIMS,V6_lab
1929,All Muslims are incompatible with any Western society.,Many Muslims live in Western societies and have contributed to our society in many different ways.,MUSLIMS,V3
778,All Muslims are incompatible with any Western society.,Define western society? Who decides on the compatibility of any individual or community?,MUSLIMS,V1
2953,All Muslims are incompatible with any Western society.,Muslims have contributed greatly to our country. They are our brothers and sisters. How exactly are they 'incompatible'?,MUSLIMS,V5
1168,All Muslims are incompatible with any Western society.,This is not true. Muslims can have a good relationship with Western societies if they are accepted as peers.,MUSLIMS,V2
2704,All Muslims are incompatible with any Western society.,It is a myth that all Muslims are incompatible. Many of them are very good at what they do. Have you ever heard about Dalia Mogahed? Her works on Muslim communities might interest you.,MUSLIMS,V5
2714,All Muslims are incompatible with any Western society.,"Perhaps we should try to understand the religions of the world more closely. Plus, Western societies core values are based on human rights, and the freedom of religion is amongst those.",MUSLIMS,V5
797,All Muslims are incompatible with any Western society.,"Yes, their teachings of peace and tolerance really are incompatible in this hate-infested, discriminatory, contemporary Western society.",MUSLIMS,V1
2207,All Muslims are incompatible with any Western society.,"That is not true.I have met Muslims from all around the world, they are like brothers and sisters",MUSLIMS,V4
2724,All Muslims are incompatible with any Western society.,The vast majority of Muslims are peaceful and friendly. How can you say otherwise?,MUSLIMS,V5
805,All Muslims are incompatible with any Western society.,"That is an unusual thought. Muslims are human beings like the rest of us. And, as all human beings, they can integrate into any society should the need arise.",MUSLIMS,V1
4647,All Muslims are incompatible with any Western society.,"Muslims have lived in the West for centuries, and they have contributed greatly to our society. They are our brothers and sisters.",MUSLIMS,V6_mix
1192,All Muslims are incompatible with any Western society.,I am not sure you have a point. I think that a person's religious beliefs will not shape their entire capability of adapting to the society they live in.,MUSLIMS,V2
818,All Muslims are incompatible with any Western society.,"The Bible, the Quran and the Torah are very very similar in their teachings; if Muslims are incompatible then we must ask ourselves which religions are compatible?",MUSLIMS,V1
2741,All Muslims are incompatible with any Western society.,I am not sure what you are trying to say by incompatible. What do you mean by incompatible?,MUSLIMS,V5
1734,All Muslims are incompatible with any Western society.,"I don't understand what you're trying to say by incompatible, since many muslims already live in our society without any problem.",MUSLIMS,V3
3658,All Muslims are incompatible with any Western society.,How many Muslims do you know? They are an important minority in a country that is used to a lot of different cultures and religions.,MUSLIMS,V6_kc
1363,All Muslims are incompatible with any Western society.,"Actually, they are not incompatible at all. In fact, surveys suggest Muslims are good citizens; make important contributions to society; and share culture and values of the countries they live in.",MUSLIMS,V2
2899,All Muslims are incompatible with any Western society.,"Why would they be 'incompatible'? You may find this offensive, but I find it very worrying that people are closing their countries to strangers based on their religion.",MUSLIMS,V5
4819,All Muslims are incompatible with any Western society.,I don't think that what you are saying is true. I think that the idea that Muslims are incompatible with Western society is a myth.,MUSLIMS,V6_mix
3416,All Muslims are incompatible with any Western society.,"Western societies are compatible with all religions including Islam, so why would you say something like that about it?",MUSLIMS,V6_sbf
2655,All Muslims are incompatible with any Western society.,The overwhelming majority of Muslims live in Western societies. They are our fellow citizens.,MUSLIMS,V5
4067,All Muslims are incompatible with any Western society.,"Islam is a religion of peace, the vast majority of Muslims are peace-loving, and there is no place for the violent interpretations of Islam in a peaceful society. Its not helpful just to focus on handfuls of extremists while misrepesenting the majority.",MUSLIMS,V6_lab
868,All Muslims are incompatible with any Western society.,"Perhaps we should stop exporting goods or buying stuff from from Islamic countries? While were at it give back their numbers, maths and architecture?",MUSLIMS,V1
2660,All Muslims are incompatible with any Western society.,"There is no evidence that Muslim have any incompatibility with Western society. Instead, they are a part of Western society since the beginning.",MUSLIMS,V5
3813,All Muslims are incompatible with any Western society.,There is no evidence that Muslims are incompatible with Western society.,MUSLIMS,V6_kc
743,All Muslims are incompatible with any Western society.,"Muslims have been part of Western society for centuries and centuries, they helped shape and design Western society, so to say they are incompatible is a complete incongruity.",MUSLIMS,V1
4968,All Muslims are incompatible with any Western society.,"Actually, not all Muslims are incompatible with Western societies. Many Muslims have lived in our societies for many years without any problem.",MUSLIMS,V6_mix
873,All Muslims are incompatible with any Western society.,"Except when you need a taxi, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.",MUSLIMS,V1
2411,All Muslims are incompatible with any Western society.,The vast majority of Muslims in the UK are here because they want to live and work in the UK. They are part of our community and we should continue to welcome them.,MUSLIMS,V4
2924,All Muslims are incompatible with any Western society.,There is no evidence that all Muslims are incompatible with Western societies. Many seem to contribute to our society.,MUSLIMS,V5
758,All Muslims are incompatible with any Western society.,"Islam's teachings uphold religious and personal freedoms, are these the Western values you mean?",MUSLIMS,V1
1147,All Muslims are incompatible with any Western society.,Nonsense. Western societies are successful because they are inclusive.,MUSLIMS,V2
2559,All Muslims are incompatible with any Western society.,There is no evidence that Islam is incompatible with Western society.,MUSLIMS,V5
832,Muslims have nothing to contribute to our society.,The 26% of NHS doctors who are Asian/Asian British beg to differ.,MUSLIMS,V1
2752,Muslims have nothing to contribute to our society.,"I'm not sure where this statement comes from, but unfortunately I have heard it many times.",MUSLIMS,V5
1346,Muslims have nothing to contribute to our society.,"The Muslims in our country are some of the best and the brightest, providing valuable skills and knowledge to our economy.",MUSLIMS,V2
2757,Muslims have nothing to contribute to our society.,Are you sure that Muslims have nothing to contribute to our society? Do you have any statistics on that?,MUSLIMS,V5
2889,Muslims have nothing to contribute to our society.,Since when has Islam not contributed anything to our society? I would like to check your sources.,MUSLIMS,V5
2890,Muslims have nothing to contribute to our society.,Since when has Islam not contributed anything to our society? Aren't you aware of the financial contributions that Muslims have made to our society with their work?,MUSLIMS,V5
2955,Muslims have nothing to contribute to our society.,Muslims are part of our society. They are our brothers and sisters.,MUSLIMS,V5
4622,Muslims have nothing to contribute to our society.,Why are you so sure of something so vague? How can you say that Muslims have nothing to contribute to our society? Do you have any proof of this?,MUSLIMS,V6_mix
4822,Muslims have nothing to contribute to our society.,I don't think they're not contributing to our society. What is the contribution that you think they're not giving?,MUSLIMS,V6_mix
857,Muslims have nothing to contribute to our society.,There are lots of positive news stories regarding Muslims.,MUSLIMS,V1
2937,Muslims have nothing to contribute to our society.,"Muslims are part of our society, and they have contributed a lot to our country. They have created jobs and wealth for the UK.",MUSLIMS,V5
3937,Muslims have nothing to contribute to our society.,"Islam has been a part of our society since time immemorial. From the time when people practiced their religion, it is no secret that they have contributed to our society.",MUSLIMS,V6_kc
2722,Muslims have nothing to contribute to our society.,Muslims are part of our society. They have always contributed to our success. They are our brothers and sisters.,MUSLIMS,V5
4449,Muslims have nothing to contribute to our society.,"My optician, my dentist and my kids teachers all disagree..",MUSLIMS,V6_lab
4833,Muslims have nothing to contribute to our society.,"Muslims are already contributing to our society, it's time for us to stop being a nuisance and start to acknowledge their contribution to our society.",MUSLIMS,V6_mix
2407,Muslims have nothing to contribute to our society.,"Even if they had nothing concrete to contribute to our society (which is false), they still have religion. In my opinion, the cultural contribution is priceless and deserves respect.",MUSLIMS,V4
2663,Muslims have nothing to contribute to our society.,"Even if no one is asking Muslims to pay for our society, they contribute to it through work and also through charity.",MUSLIMS,V5
3943,Muslims have nothing to contribute to our society.,Muslims are part of our society and have contributed to our culture and economy. They are our brothers and sisters.,MUSLIMS,V6_kc
2220,Muslims have nothing to contribute to our society.,"What do you mean ""nothing"" to our society? Muslims have contributed a lot to our society, including art, science, literature, our infrastructure and healthcare system.",MUSLIMS,V4
816,Muslims have nothing to contribute to our society.,"How about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. Should I go on?",MUSLIMS,V1
2681,Muslims have nothing to contribute to our society.,"Haven't they contributed a lot to our society, especially in the areas of science, technology, engineering and mathematics.",MUSLIMS,V5
880,Muslims have nothing to contribute to our society.,"What have Muslims ever done for us? Well, Coffee, Clocks, Cameras, Hygiene, Universities, Surgical Instruments, Maps, Music, Algebra..",MUSLIMS,V1
2231,Muslims have nothing to contribute to our society.,"We should work with them, not against them. They are our brothers.",MUSLIMS,V4
2232,Muslims have nothing to contribute to our society.,"Although some Muslims do have some habits which are not common to other people, they are not a problem in our society.",MUSLIMS,V4
2553,Muslims have nothing to contribute to our society.,People of different faiths have contributed to our society and Muslims are no exception. Do you have any contrary evidence?,MUSLIMS,V5
470,MIgrants are not running away from wars.,"The desire to improve one's condition both a right and, like the tendency to travel, both fundamental to human behaviour.",MIGRANTS,V1
471,MIgrants are not running away from wars.,Actually the fear of what they risk in their country is by far stronger than that of crossing the sea on a makeshift boat.,MIGRANTS,V1
472,MIgrants are not running away from wars.,"If they did not escape from wars, do you think that they would try to cross the sea on makeshift boats putting their lives at stake?",MIGRANTS,V1
473,MIgrants are not running away from wars.,I think you're wrong. In many African countries there are civil wars.,MIGRANTS,V1
474,MIgrants are not running away from wars.,Asylum is granted not just due to conflict but in cases where people establish a threat to life and liberty.,MIGRANTS,V1
475,MIgrants are not running away from wars.,"Recognizing who has the right of international protection is a task that pertains to Territorial Commissions, in case there is not a valid reason, it is unlikely to be recognized.",MIGRANTS,V1
476,MIgrants are not running away from wars.,"Of course, not all of them flee from wars, but they often flee from social and environmental conditions that none of us would consider acceptable.",MIGRANTS,V1
477,MIgrants are not running away from wars.,"Who would face a trip to the desert, torture in Libya and the risk of dying at sea if they did not have a real motivation?",MIGRANTS,V1
478,MIgrants are not running away from wars.,"Unfortunately, there are areas of the world where there are small conflicts - we are not aware of - that affect small groups rather than an entire nation",MIGRANTS,V1
479,MIgrants are not running away from wars.,"For me, a person cannot be anything but desperate to face a journey like the one migrants face.",MIGRANTS,V1
480,MIgrants are not running away from wars.,Nobody wants to leave their country and meet so many dangers and difficulties unless there are serious reasons.,MIGRANTS,V1
481,MIgrants are not running away from wars.,"There are hundreds of active conflicts around the world of which we have no news, and many migrants come from these areas.",MIGRANTS,V1
482,MIgrants are not running away from wars.,"International protection is not only recognized in the case of conflicts, but also violence, discrimination and other serious threats to life and liberty.",MIGRANTS,V1
483,MIgrants are not running away from wars.,"In my opinion, poverty can be as inhuman as a war.",MIGRANTS,V1
484,MIgrants are not running away from wars.,"If they do not run away from war, then they are really crazy to face the violence and the risk of death at sea to reach EU",MIGRANTS,V1
485,MIgrants are not running away from wars.,"There are persecutions that cause death and devastation almost like a war. Do people who risk their lives, even without the bombs falling, have the right to international protection?",MIGRANTS,V1
486,MIgrants are not running away from wars.,Would you risk your life and that of your children only on a whim? Don't you think that there must be life-or-death situations pushing these person to escape from their countries?,MIGRANTS,V1
487,MIgrants are not running away from wars.,"It is true, they often run away from persecution, violence and hunger. If I were in the same situation, I would not think twice about escaping. Wouldn't you do the same? It seems to me a very human instinct.",MIGRANTS,V1
1153,Every Muslim is a potential terrorist.,Terrorism is a problem that impacts upon us all and is not necessary related to being Muslim.,MUSLIMS,V2
2179,Every Muslim is a potential terrorist.,The vast majority of Muslims worldwide are peaceful people who love their religion and share its values without causing any harm to others.,MUSLIMS,V4
2180,Every Muslim is a potential terrorist.,"Islam is a peaceful religion, and it is not at all similar to the kind of extremist hatred that has caused violence in many countries.",MUSLIMS,V4
2755,Every Muslim is a potential terrorist.,What do you mean by 'potential terrorist'?,MUSLIMS,V5
2884,Every Muslim is a potential terrorist.,"Although there is a link between terrorism and a number of religious and ethnic groups, this is not evidence that a group is more prone to terrorism than any other.",MUSLIMS,V5
845,Every Muslim is a potential terrorist.,Every Islamophobic person has the potential to use that intent for terrorism or violence against Muslims. Terrorism comes in all shapes and sizes.,MUSLIMS,V1
782,Every Muslim is a potential terrorist.,"I think becoming a terrorist takes a very narrow minded person with a very closed world view, ah err sorry.",MUSLIMS,V1
2192,Every Muslim is a potential terrorist.,The vast majority of Muslims are peaceful and helpful people. They are our neighbours.,MUSLIMS,V4
1174,Every Muslim is a potential terrorist.,"Muslims and terrorists are not the same. Every extremist is a potential terrorist, this doesn't have anything to do with one's specific faith.",MUSLIMS,V2
2725,Every Muslim is a potential terrorist.,"Terrorism? No one has ever claimed that all Muslims are prone to terrorism. Would you say the same about a large percentage of Greeks, for example?",MUSLIMS,V5
2726,Every Muslim is a potential terrorist.,"Any attempt to ban, isolate, or criminalise a Muslim person is an act of terror.",MUSLIMS,V5
817,Every Muslim is a potential terrorist.,How can you say a person is a potential terrorist?,MUSLIMS,V1
755,Every Muslim is a potential terrorist.,The majority of Muslims worldwide are peaceful.,MUSLIMS,V1
762,Every Muslim is a potential terrorist.,What do you base your view on?,MUSLIMS,V1
763,Every Muslim is a potential terrorist.,"I think this is a very inconsiderate thing to say, would you say the same thing about non-Muslims as well??",MUSLIMS,V1
826,Every Muslim is a potential terrorist.,Many Muslims died in terrorist attacks such as 9/11 in the US and 7/7 in the UK.,MUSLIMS,V1
2685,Every Muslim is a potential terrorist.,"Terrorism is always a risk. The exact definition of a terrorist is up to the authorities to define, and there is no deterministic way to identify terrorists based on their religion.",MUSLIMS,V5
98,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Compassion and empathy are valuable assets in any civilisation.,WOMEN,V1
5,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,WOMEN,V1
38,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",The patriarchy is not man's friend. Boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. This has led to great levels of suicide amoungst men. It is a question of survival and happiness to accept our differences and similarities and to work together.,WOMEN,V1
103,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Both men and women can possess characteristics like 'soft' and 'emotional',which are not determined by gender, nor are they a negative thing. Maybe we could all use a bit more compassion and 'emotion' in today's world?",WOMEN,V1
